sku,manufacturer_sku,manufacturer_name,short_description,sell_price,srp_price,currency_id,wequote_id
DLFR2FLGIWSKM1,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass Ice White  Combination: Socket  Multipurpo,4278.26,0,ZAR,1208195
DLFR2FLGSWKPSK,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass Sand White  Combination: Keypad  Socket,3250.43,0,ZAR,1208196
DLFR2FLGSWM1SK,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass Sand White  Combination: Multipurpose/Tempe,4500,0,ZAR,1208197
DLFR2FLGSWSKM1,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass Sand White  Combination: Socket  Multipurp,4500,0,ZAR,1208198
DLFR2FLGVGKPSK,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass Venetian Gold  Combination: Keypad  Socket,4278.26,0,ZAR,1208199
DLFR2FLGVGM1SK,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass Venetian Gold  Combination: Multipurpose/Te,4278.26,0,ZAR,1208200
DLFR2FLGVGSKM1,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass Venetian Gold  Combination: Socket  Multip,4278.26,0,ZAR,1208201
DLFR2FLGYBKPSK,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass York Black  Combination: Keypad  Socket,4278.26,0,ZAR,1208202
DLFR2FLGYBM1SK,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass York Black  Combination: Multipurpose/Tempe,4278.26,0,ZAR,1208203
DLFR2FLGYBSKM1,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass York Black  Combination: Socket  Multipurp,4278.26,0,ZAR,1208204
DLFR2FLMASKPSK,,Black Nova,Alba collection Frame double frame Legrand Arteor Metal Aluminum Silver  Metal Brushed  Combinatio,4278.26,0,ZAR,1208205
DLFR2FLMASM1SK,,Black Nova,Alba collection Frame double frame Legrand Arteor Metal Aluminum Silver  Metal Brushed  Combinatio,4278.26,0,ZAR,1208206
DLFR2FLMASSKM1,,Black Nova,Alba collection Frame double frame Legrand Arteor Metal Aluminum Silver  Metal Brushed  Combinatio,4278.26,0,ZAR,1208207
DLFR2FLMBGKPSK,,Black Nova,Alba collection Frame double frame Legrand Arteor Metal Bronze Gold  Metal Brushed  Combination: K,4278.26,0,ZAR,1208208
DLFR2FLMBGM1SK,,Black Nova,Alba collection Frame double frame Legrand Arteor Metal Bronze Gold  Metal Brushed  Combination: M,4278.26,0,ZAR,1208209
