sku,product_name,brand,wequote_sell_price_zar,odoo_sales_price_zar,price_diff_wequote_minus_odoo,odoo_cost_price_zar,wequote_msrp_zar,status
70798,IPORT SURFACE MOUNT BEZEL WHITE works with iPad Air 3rd gen 10.5-inch | iPad 7th gen. 10.2,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
71000,IPORT LUXE BASESTATION BLACK,Sonance,15801.74,15801.74,0.0,11061.22,0.0,Matched - price identical
71001,SONANCE LUXE BASESTATION SILVER,Sonance,15801.74,15801.74,0.0,11061.22,0.0,Matched - price identical
71002,IPORT LUXE BASESTATION WHITE,Sonance,15801.74,15801.74,0.0,11061.22,0.0,Matched - price identical
71003,SONANCE LUXE WALLSTATION BLACK,Sonance,14046.09,14046.09,0.0,9832.27,0.0,Matched - price identical
71004,SONANCE LUXE WALLSTATION SILVER,Sonance,14046.09,14046.09,0.0,9832.27,0.0,Matched - price identical
71005,IPORT LUXE WALLSTATION WHITE,Sonance,14046.09,14046.09,0.0,9832.27,0.0,Matched - price identical
71006,IPORT LUXE WALL ADAPTER KIT BLACK,Sonance,2106.96,2106.96,0.0,1474.87,0.0,Matched - price identical
71007,IPORT LUXE WALL ADAPTER KIT SILVER,Sonance,2106.96,2106.96,0.0,1474.87,0.0,Matched - price identical
71008,IPORT LUXE WALL ADAPTER KIT WHITE,Sonance,2106.96,2106.96,0.0,1474.87,0.0,Matched - price identical
71009,IPORT LUXE CASE MINI4 I MINI 5th GEN BLACK,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
71010,IPORT LUXE CASE MINI4 I MINI 5th GEN SILVER,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
71011,IPORT LUXE CASE MINI4 I MINI 5th GEN WHITE,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
71012,SONANCE LUXE CASE AIR 1 I 2 I 9.7 BLACK,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
71013,SONANCE LUXE CASE AIR 1 I 2 I 9.7 SILVER,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
71014,IPORT LUXE CASE AIR 1 I 2 I 9.7 WHITE,Sonance,12415.65,12415.65,0.0,8690.96,0.0,Matched - price identical
71015,SONANCE LX CASE BLACK works with iPad Air 3rd gen 10.5-inch | iPad 7th gen. 10.2-inch,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
71016,SONANCE LX CASE SILVER works with iPad Air 3rd gen 10.5-inch | iPad 7th gen. 10.2-inch,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
71017,IPORT LX CASE WHITE works with iPad Air 3rd gen 10.5-inch | iPad 7th gen. 10.2-inch,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
71019,IPORT LUXE USB CHARGE MODULE SILVER  - While Supplies Last,Sonance,4263.48,4263.48,0.0,2984.44,0.0,Matched - price identical
71020,IPORT LUXE USB CHARGE MODULE WHITE - While Supplies Last,Sonance,4263.48,4263.48,0.0,2984.44,0.0,Matched - price identical
