sku,description,sales_price,cost
RUBICON VOK B,RUBICON VOKAL BLACK CENTER SPEAKER,31295.65,18777.39
RUBICON VOK R,RUBICON VOKAL ROSSO CENTER SPEAKER,31295.65,18777.39
OSL-PRO10-00,RUNTIME LICENSE - PRO 10,90873.91,54524.35
OSL-SMRT10-00,RUNTIME LICENSE - SMART 10,12721.74,7633.049999999999
OSL-SMRT9-00,RUNTIME LICENSE - SMART 9,12128.7,7277.219999999999
OSL-SUPERPRO10-00,RUNTIME LICENSE - SUPER PRO 10,181747.83000000002,109048.70000000001
RS-2R100,Rackstuds 2.2mm 100 Pack Red | RSL2.2R100-S2,875.0,650.0
RS-2R20,Rackstuds 2.2mm 20 Pack Red | RSL2.2R20-S2A,190.0,150.0
RS-3P20,Rackstuds 3.2mm 20 Pack Purple | RSL3.2P20-S2,175.0,125.0
RS-DUOB20,Rackstuds Duo 2.2mm/3.2mm 20 Pack Black | RSLDUO-1RUB20-S2/40,475.0,350.0
UA-G3-Flex-B,Reader Flex - Third-generation NFC card reader with a keypad and Touch Pass support.,4821.429999999999,3375.0
UA-G3-Flex-W,Reader Flex - Third-generation NFC card reader with a keypad and Touch Pass support.,4785.71428571429,3350.0
BG-G1P-RS,Resettable break glass -Green,207.142857142857,145.0
DHI-DSSPro8-Retail-Module-License,"Retail business application module license for DSS Professional V8, supports store management, Customer Traffic Analysis, queue management, etc.",82207.75,56695.0
RG-EG310GP,Reyee 10 Port Gigabit 4 WAN 8 PoE 110W Cloud Router | RG-EG310GH-P-E,3450.0,2550.0
RG-EG210GP,Reyee 10 Port Gigabit 4 WAN 8 PoE 70W Cloud Router | RG-EG210G-P,2730.0,1895.0
RG-ES220GP,Reyee 18 Port Gigabit with 16 PoE 250W 2SFP Managed Switch | RG-ES220GS-P,3050.0,2250.0
RG-EST100,Reyee 2.4GHz 300Mbps 8dBi 70° Pre-Paired Kit | RG-EST100-E,825.0,595.0
RG-NBS24G4S,Reyee 24 Port Gigabit 4SFP Layer 2+ Smart Switch | RG-NBS3100-24GT4SFP-V2,2595.0,1925.0
RG-NBS24P4S,Reyee 24 Port Gigabit PoE 370W 4SFP Layer 2+ Smart Switch | RG-NBS3100-24GT4SFP-P-V2,4850.0,3575.0
RG-ES228GP,Reyee 26 Port Gigabit with 24 PoE 370W 2SFP Managed Switch | RG-ES228GS-P,4050.0,2995.0
RG-EG105GP,Reyee 5 Port Gigabit 2 WAN 4 PoE 54W Cloud Router | RG-EG105G-P,1550.0,1150.0
RG-EG105G,Reyee 5 Port Gigabit 2 WAN Cloud Router | RG-EG105G,1350.0,995.0
RG-EG305GP,Reyee 5 Port Gigabit 4 WAN 4 PoE 60W Cloud Router | RG-EG305GH-P-E,3150.0,2195.0
RG-EG105GW,Reyee 5 Port Gigabit AC Wave 2 Cloud Router | RG-EG105GW(T),1425.0,1050.0
RG-ES205GP,Reyee 5 Port Gigabit with 4 PoE 54W Managed Switch | RG-ES205GC-P,1050.0,725.0
RG-EST310,Reyee 5GHz AC 10dBi 60° Pre-Paired Kit | RG-EST310 V2,1795.0,1325.0
RG-NBS8P2S,Reyee 8 Port Gigabit PoE 125W 2SFP Layer 2+ Smart Switch | RG-NBS3100-8GT2SFP-P,2650.0,1950.0
RG-EG1510XS,Reyee 8 Port Multi Gigabit 2SFP+ Multi-WAN Cloud Router | RG-EG1510XS,7075.0,5195.0
RG-ES209GP,Reyee 9 Port Gigabit with 8 PoE 120W Managed Switch | RG-ES209GC-P,1895.0,1325.0
RG-EW1200R,Reyee Dual Band AC 1200Mbps 4dBi Mesh Range Extender | RG-EW1200R,575.0,425.0
RG-EW1200F,Reyee Dual Band AC 1200Mbps 5dBi Fast Ethernet Mesh Router | RG-EW1200,375.0,275.0
RG-EW1300G,Reyee Dual Band AC 1300Mbps Gigabit Mesh Router | RG-EW1300G,575.0,425.0
RG-RAP1200GP,Reyee Dual Band WiFi 5 1300Mbps 5 Port Gigabit Mesh In-Wall AP | RG-RAP1200(P),1150.0,850.0
RG-RAP2200F,Reyee Dual Band WiFi 5 1300Mbps Fast Ethernet Ceiling Mount AP | RG-RAP2200(F),925.0,675.0
RG-RAP2200G,Reyee Dual Band WiFi 5 1300Mbps Gigabit Ceiling Mount AP | RG-RAP2200(E),1050.0,775.0
RG-RAP52G,Reyee Dual Band WiFi 5 1300Mbps Gigabit Compact Outdoor AP | RG-RAP52-OD,1250.0,925.0
RG-EW1800GX,Reyee Dual Band WiFi 6 1800Mbps 6dBi Gigabit Mesh Router | RG-EW1800GX Pro,1295.0,895.0
RG-RAP6262GX,Reyee Dual Band WiFi 6 1800Mbps Gigabit Outdoor AP | RG-RAP6262G,2995.0,2095.0
RG-EW3000GX,Reyee Dual Band WiFi 6 3000Mbps 5dBi Gigabit Mesh Router | RG-EW3000GX PRO,825.0,595.0
RG-RAP2266GX,Reyee Dual Band WiFi 6 3000Mbps Gigabit Ceiling Mount AP | RG-RAP2266,1625.0,1195.0
SDU 3kVA,Riello Sentinel Dual 3kVA UPS,19481.4285714286,13637.0
ATTINTAMPB,Roksan Attessa Amplifier (Black),32165.22,22194.010000000002
ATTCDTB,Roksan Attessa CD Transport (Black),16078.26,11094.01
ATTSTREAMAMPB,Roksan Attessa Streaming Amp (Black),48513.04,33474.020000000004
ATTTB,Roksan Attessa Turntable (Satin Black),29991.300000000003,20694.010000000002
K3POW/CHAR,Roksan K3 Power Amplifier (Charcoal),34226.090000000004,23616.0
QSSC-EDU-R100,Roller 100 EDU,6521.74,4565.219999999999
QSSC-EDU-R150,Roller 150 EDU - LUTRON - Electronic Drive Units,0.0,8695.65
QSSC-EDU-R300,Roller 300 EDU - LUTRON - Electronic Drive Units,0.0,9565.21
QSSC-EDU-R64,Roller 64 EDU,7126.74,4988.719999999999
MHUB88ROOMREM,Room Remote for mHub 4K PRO 8x8 New,260.87,156.52
MHUB44ROOMREM,Room Remote for mHub PRO/431U New,260.87,156.52
Calkit,RoomPerfect calibration kit,8433.914285714289,5903.74
FR01260,Rotel A10 MKII Amplifier (Black),13034.78,8994.0
FR01289,Rotel A11 MKII Amplifier (Black),17382.61,11994.01
FR01263,Rotel A11 Tribute Amplifier (Black),13469.57,10843.01
FR01273,Rotel A12 MKII Amplifier (Black),23382.61,16134.0
FR01266,Rotel A14MKII Amplifier (Black),28860.870000000003,19914.0
FR01276,Rotel C8 Matrix Amplifier (Black),52426.090000000004,36174.0
FR01277,Rotel C8+ Matrix Amplifier (Black),67382.61,46494.0
FR01290,Rotel CD11 MKII CD Player (Black),11295.65,7794.0
FR01274,Rotel CD14 MKII - CD Player (Black),16078.26,11094.0
FR01267,Rotel RA1572MKII Amplifier (Black),42252.17,29154.0
FR01269,Rotel RA1592MKII Amplifier (Black),55295.65,38154.0
FR01281,Rotel RAS5000 Amplifier (Black),69556.52,47994.0
FR01209,Rotel RB1552MKII Power Amplifier (Black),24339.13,16794.0
FR01207,Rotel RB1582MKII Power Amplifier (Black),39991.3,27594.0
FR01228,Rotel RB1590 Power Amplifier (Black),75643.48,52194.0
FR01268,Rotel RC1572MKII Preamplifier (Black),27295.65,18834.0
FR01270,Rotel RC1590MKII Preamplifier (Black),43469.57,29994.0
FR01275,Rotel RCD1572 MKII CD Player (Black),23382.61,16134.0
FR01137,Rotel RMB1506 Power Amplifier (Black),26947.83,18594.0
FR01200,Rotel RMB1555 Power Amplifier (Black),41295.65,28494.0
FR01287,Rotel RMB1585MKII Power Amplifier(Black),78252.17,53994.0
FR01285,Rotel RMB1587MKII Power Amplifier(Black),85730.43000000001,59154.0
FR01279,Rotel S14 Integrated Network Amp (Black),52165.22,35994.0
FR01245,Rotel T11 Tuner (Black),7469.57,6013.0
2000-115837,Russound AH2 ABus Hub,4347.83,3000.0
2000-115851,Russound AH4 ABus Hub,6695.65,4620.0
2000-115882,Russound AH484 ABus Hub,18521.74,12780.0
2000-534591,Russound AK4 ABus Keypad (White),6000.0,4140.0
6100-536281,Russound ALT126R Volume Control,1043.48,720.0
2000-114557,Russound APS ABus Power Supply,4347.83,3000.0
2460-853708,Russound BSK2 Bluetooth Source Kit,9304.349999999999,6420.0
2460-533709,Russound BTC1X CSeries Bluetooth,4339.13,2994.0
